Order,Type,Title,Source,Source Filename,Length,Description (if available),Created,Resources
1,chapter,Introduction,,,,,,
2,video,Course Overview,Video,Course Introduction.mp4,00:02:57,,2019-03-28T10:43:14Z,
3,video,Introducing our Hands-On Case Study: Cadabra.com,Video,CaseStudyIntro.mp4,00:03:26,,2019-03-04T18:21:33Z,
4,video,Udemy 101,Video,Udemy101.mp4,00:02:10,"If you're new to Udemy, learn how to have the best experience with the Q&amp;A feature, video controls, transcripts, captions, and reviews.",2019-03-04T18:22:15Z,
5,article,Get the Course Materials,Generated File,005_article_17340707_Get the Course Materials.html,00:00:28,,2019-03-28T10:17:43Z,ExternalLink - Course materials archive - http://media.sundog-soft.com/AWSBigData/AWSCertBigData-Materials.zip - 2019-03-04T22:43:11Z
6,video,Cost of the Course + AWS Budget Setup,Video,AWS Account Setup and Signup.mp4,00:01:47,,2019-03-28T10:42:52Z,
7,chapter,Domain 1: Collection,,,,"Use Kinesis Data Streams, Kinesis Firehose, SQS, IOT, Database Migration Service, Direct Connect, and Snowball to move massive data sets where they need to be.",,
8,video,Collection Section Introduction,Video,Collection Introduction.mp4,00:01:29,,2019-03-22T11:25:13Z,
9,video,Kinesis Data Streams Overview,Video,Kinesis Data Streams Overview.mp4,00:06:53,,2019-03-22T11:25:13Z,
10,video,Kinesis Producers,Video,Kinesis Producers.mp4,00:09:29,,2019-03-22T11:25:13Z,
11,video,Kinesis Consumers,Video,Kinesis Consumers.mp4,00:07:54,,2019-03-22T11:25:13Z,
12,video,Kinesis Enhanced Fan Out,Video,Kinesis Enhanced Fan Out.mp4,00:03:30,,2019-03-22T11:25:13Z,
13,video,Kinesis Scaling,Video,Kinesis Scaling.mp4,00:05:05,,2019-03-22T11:25:14Z,
14,video,Kinesis Security,Video,Kinesis Security.mp4,00:01:15,,2019-03-22T11:25:13Z,
15,video,Kinesis Data Firehose,Video,Kinesis Data Firehose.mp4,00:08:17,,2019-03-22T11:25:13Z,
16,video,"[Exercise] Kinesis Firehose, Part 1",Video,Exercise1-FirehosePt1.mp4,00:05:32,"We'll build up a system to populate an S3 data lake from EC2 server data, using Kinesis Firehose.",2019-03-04T22:25:54Z,
17,video,"[Exercise] Kinesis Firehose, Part 2",Video,Exercise1-FirehosePt2.mp4,00:06:58,"We'll build up a system to populate an S3 data lake from EC2 server data, using Kinesis Firehose.",2019-03-04T22:21:50Z,
18,video,"[Exercise] Kinesis Firehose, Part 3",Video,Exercise1-FirehosePt3.mp4,00:07:34,"We'll build up a system to populate an S3 data lake from EC2 server data, using Kinesis Firehose.",2019-03-04T22:25:06Z,
19,video,[Exercise] Kinesis Data Streams,Video,Exercise2-KinesisStream.mp4,00:07:09,"We'll create a Kinesis stream, and use the Kinesis Agent to send data from EC2 into it - and confirm data is being successfully sent and received. This will form the basis of our ""order history app"" that we'll build up across future exercises in this course.",2019-03-04T22:27:25Z,
20,video,SQS Overview,Video,SQS Overview.mp4,00:06:59,,2019-03-22T11:25:13Z,
21,video,Kinesis Data Streams vs SQS,Video,Kinesis vs SQS.mp4,00:04:34,,2019-03-22T11:25:13Z,
22,video,IoT Overview,Video,IoT Overview.mp4,00:09:27,,2019-03-22T14:29:39Z,
23,video,IoT Components Deep Dive,Video,IoT Deep Dive.mp4,00:07:12,,2019-03-22T14:29:40Z,
24,video,Database Migration Service (DMS),Video,Database Migration Service (DMS).mp4,00:06:56,,2019-03-22T14:29:40Z,
25,video,Direct Connect,Video,Direct Connect .mp4,00:03:35,,2019-03-22T14:29:40Z,
26,video,Snowball,Video,Snowball Overview.mp4,00:06:20,,2019-03-22T14:29:39Z,
27,quiz,Collection Quiz,Generated File,027_quiz_4611101_Collection Quiz.csv,,,,
28,chapter,Domain 2: Storage,,,,"Use S3, DynamoDB, and Elasticache to store data in different ways, for different usage patterns.",,
29,video,S3 Overview,Video,S3 Overview.mp4,00:07:46,,2019-03-25T14:04:20Z,
30,video,S3 Storage Tiers,Video,S3 Storage Tiers.mp4,00:08:45,,2019-03-25T14:04:19Z,
31,video,S3 Lifecycle Rules,Video,S3 Lifecycle Policies.mp4,00:03:34,,2019-03-25T14:04:20Z,
32,video,S3 Versioning,Video,S3 Versioning.mp4,00:03:10,,2019-03-25T14:04:19Z,
33,video,S3 Cross Region Replication,Video,S3 Cross Region Replication.mp4,00:04:39,,2019-03-25T14:04:20Z,
34,video,S3 ETags,Video,S3 ETags.mp4,00:03:20,,2019-03-25T14:04:20Z,
35,video,S3 Performance,Video,S3 Performance.mp4,00:03:46,,2019-03-25T14:04:19Z,
36,video,S3 Encryption,Video,S3 Encryption.mp4,00:08:23,,2019-03-25T14:04:20Z,
37,video,S3 Security,Video,S3 - Security.mp4,00:05:17,,2019-03-25T14:04:20Z,
38,video,Glacier & Vault Lock Policies,Video,Glacier Overview.mp4,00:03:06,,2019-03-25T14:04:19Z,
39,video,DynamoDB Overview,Video,DynamoDB Overview - Big Data.mp4,00:06:31,,2019-03-25T18:00:39Z,
40,video,DynamoDB RCU & WCU,Video,DynamoDB Throughput.mp4,00:09:05,,2019-03-25T18:00:39Z,
41,video,DynamoDB Partitions,Video,DynamoDB Partitions Internal.mp4,00:03:01,,2019-03-25T18:00:39Z,
42,video,DynamoDB APIs,Video,DynamoDB API.mp4,00:08:43,,2019-03-25T18:00:39Z,
43,video,DynamoDB Indexes: LSI & GSI,Video,DynamoDB Indexes.mp4,00:04:36,,2019-03-25T18:00:39Z,
44,video,DynamoDB DAX,Video,DynamoDB DAX.mp4,00:02:50,,2019-03-25T18:00:39Z,
45,video,DynamoDB Streams,Video,DynamoDB Streams.mp4,00:02:27,,2019-03-25T18:00:39Z,
46,video,DynamoDB TTL,Video,DynamoDB TTL.mp4,00:04:04,,2019-03-25T18:00:39Z,
47,video,DynamoDB Security,Video,DynamoDB Security.mp4,00:00:58,,2019-03-25T18:00:39Z,
48,video,[Exercise] DynamoDB,Video,Exercise3-DynamoDB.mp4,00:09:04,"We'll continue to flesh out our ""order history app"" by writing our order data from a Kinesis stream into a DynamoDB table, using a Kinesis consumer app on EC2 for now to bridge the two.",2019-03-04T22:30:13Z,
49,video,ElastiCache Overview,Video,ElastiCache Overview.mp4,00:02:04,,2019-03-25T18:00:39Z,
50,quiz,Storage Quiz,Generated File,050_quiz_4613827_Storage Quiz.csv,,,,
51,chapter,Domain 3: Processing,,,,"Use Lambda, Glue, EMR, Amazon ML, SageMaker, and Data Pipeline to process the data you've collected.",,
52,video,Section Introduction: Processing,Video,ProcessingIntro.mp4,00:01:22,,2019-03-25T20:19:04Z,
53,video,What is AWS Lambda?,Video,01.WhatIsLambda.mp4,00:04:49,,2019-03-19T20:32:14Z,
54,video,Lambda Integration - Part 1,Video,02.LambdaIntegration_Pt1.mp4,00:05:25,,2019-03-19T20:32:58Z,
55,video,Lambda Integration - Part 2,Video,02.LambdaIntegration_Pt2.mp4,00:05:54,,2019-03-19T20:33:38Z,
56,video,"Lambda Costs, Promises, and Anti-Patterns",Video,03.LambdaCostsPromisesAndAntipatterns.mp4,00:03:36,,2019-03-19T20:34:24Z,
57,video,[Exercise] AWS Lambda,Video,Exercise4-Lambda.mp4,00:08:25,"We'll complete our ""order history app"" example by replacing our Kinesis consumer app with a Lambda function, which is serverless and more scalable.",2019-03-04T22:32:25Z,
58,quiz,Quiz: AWS Lambda,Generated File,058_quiz_4602786_Quiz: AWS Lambda.csv,,Check the depth of your knowledge on AWS Lambda - you'll need to have listened carefully to the previous lectures!,,
59,video,What is Glue? + Partitioning your Data Lake,Video,04.WhatIsGlueAndPartitioningYourDataLake.mp4,00:04:50,,2019-03-19T20:35:21Z,
60,video,"Glue, Hive, and ETL",Video,05.GlueHiveAndETL.mp4,00:01:53,,2019-03-19T20:35:57Z,
61,video,Glue Costs and Anti-Patterns,Video,06.GlueCostsAndAntipatterns.mp4,00:01:44,,2019-03-19T20:36:27Z,
62,quiz,Quiz: AWS Glue,Generated File,062_quiz_4603142_Quiz: AWS Glue.csv,,"Check your knowledge on some of the finer points of AWS Glue crawlers, data catalogs, and ETL jobs.",,
63,video,Elastic MapReduce (EMR) Architecture and Usage,Video,07.EMRArchitectureAndUsage.mp4,00:05:36,,2019-03-19T20:37:11Z,
64,video,"EMR, AWS integration, and Storage",Video,08.EMRAWSAndStorage.mp4,00:06:41,,2019-03-20T13:08:08Z,
65,video,EMR Promises; Intro to Hadoop,Video,09.EMRPromisesAndWhatIsHadoop.mp4,00:03:36,,2019-03-20T13:08:49Z,
66,video,Intro to Apache Spark,Video,10.IntroToSpark.mp4,00:06:38,,2019-03-20T13:09:31Z,
67,video,Spark Integration with Kinesis and Redshift,Video,11.SparkIntegrationWithKinesisAndRedshift.mp4,00:03:46,,2019-03-21T13:29:01Z,
68,video,Hive on EMR,Video,12.HiveOnEMR.mp4,00:07:33,,2019-03-21T13:29:56Z,
69,video,Pig on EMR,Video,13.PigOnEMR.mp4,00:02:10,,2019-03-21T13:30:27Z,
70,video,HBase on EMR,Video,14.HBaseOnEMR.mp4,00:04:01,,2019-03-21T13:31:04Z,
71,video,Presto on EMR,Video,15.PrestoOnEMR.mp4,00:03:00,,2019-03-21T13:31:44Z,
72,video,Zeppelin and EMR Notebooks,Video,16.ZeppelinAndEMRNotebooks.mp4,00:04:34,,2019-03-21T22:28:13Z,
73,video,"Hue, Splunk, and Flume",Video,17.HueSplunkAndFlume.mp4,00:04:05,,2019-03-21T22:28:58Z,
74,video,S3DistCP and Other Services,Video,18.S3DistCPAndOthers.mp4,00:04:37,,2019-03-21T22:29:43Z,
75,video,EMR Security and Instance Types,Video,19.EMRSecurityAndInstanceTypes.mp4,00:05:50,,2019-03-21T22:30:32Z,
76,video,"[Exercise] Elastic MapReduce, Part 1",Video,Exercise5-EMR_Pt1.mp4,00:10:28,"Let's use Apache Spark and it's machine learning library, MLLib, on an Amazon EMR cluster - to consume our order data in an S3 data lake, and produce product recommendations for our customers.",2019-03-04T22:35:20Z,
77,video,"[Exercise] Elastic MapReduce, Part 2",Video,Exercise5-EMR_Pt2.mp4,00:10:32,"Let's use Apache Spark and it's machine learning library, MLLib, on an Amazon EMR cluster - to consume our order data in an S3 data lake, and produce product recommendations for our customers.",2019-03-04T22:38:29Z,
78,quiz,[Quiz] EMR and the Hadoop Ecosystem,Generated File,078_quiz_4604410_[Quiz] EMR and the Hadoop Ecosystem.csv,,The world of Elastic MapReduce and the applications it can run is huge! Test your knowledge on a few of its finer points.,,
79,video,Machine Learning 101,Video,20.MachineLearning101.mp4,00:06:39,,2019-03-21T22:31:30Z,
80,video,Classification Models,Video,21.ClassificationModels.mp4,00:06:13,,2019-03-21T22:32:41Z,
81,video,Amazon ML Service,Video,22.AmazonMLService.mp4,00:05:54,,2019-03-21T22:33:35Z,
82,video,SageMaker,Video,23.SageMaker.mp4,00:07:39,,2019-03-21T22:34:23Z,
83,video,"[Exercise] Amazon Machine Learning, Part 1",Video,Exercise6-AmazonML_Pt1.mp4,00:08:29,"We'll use Amazon's Machine Learning service to predict quantities for any given order, and learn the importance of cleaning your data of outliers along the way.",2019-03-04T22:40:14Z,
84,video,"[Exercise] Amazon Machine Learning, Part 2",Video,Exercise6-AmazonML_Pt2.mp4,00:06:24,Part 2 of our exercise to predict order quantities with a linear regression from Amazon ML.,2019-03-04T22:42:02Z,
85,quiz,Quiz: Amazon Machine Learning and SageMaker,Generated File,085_quiz_4603188_Quiz: Amazon Machine Learning and SageMaker.csv,,Test your knowledge of details of Amazon ML and SageMaker that may prove useful in the exam.,,
86,video,Deep Learning 101,Video,24.DeepLearning101.mp4,00:09:42,,2019-03-24T11:48:01Z,
87,video,AWS Data Pipeline,Video,25.DataPipeline.mp4,00:05:15,,2019-03-26T11:34:04Z,
88,chapter,Domain 4: Analysis,,,,"Use Kinesis Analytics, Amazon Elasticsearch Service, Athena, Redshift, and RDS to analyze your big data in the cloud.",,
89,video,Section Introduction: Analysis,Video,AnalysisIntro.mp4,00:01:17,,2019-03-25T20:19:47Z,
90,video,Intro to Kinesis Analytics,Video,01.KinesisAnalyticsIntro.mp4,00:03:58,,2019-03-26T11:35:02Z,
91,video,Kinesis Analytics Costs; RANDOM_CUT_FOREST,Video,02.KinesisAnalyticsCosts-RandomCutForest.mp4,00:02:19,,2019-03-26T11:35:36Z,
92,article,Warning: Amazon ML Service has been deprecated!,Generated File,092_article_17324931_Warning: Amazon ML Service has been deprecated!.html,00:01:13,,2019-03-27T14:21:52Z,
93,video,"[Exercise] Kinesis Analytics, Part 1",Video,Exercise7-KinesisAnalytics_Pt1.mp4,00:09:51,"We'll build up a more complex application that monitors our incoming order data using Kinesis Analytics. If an anomalous order rate is detected, an alarm will be sent via text message to your cell phone using Lambda and SNS.",2019-03-04T22:46:02Z,
94,video,"[Exercise] Kinesis Analytics, Part 2",Video,Exercise7-KinesisAnalytics_Pt2.mp4,00:10:05,"We'll build up a more complex application that monitors our incoming order data using Kinesis Analytics. If an anomalous order rate is detected, an alarm will be sent via text message to your cell phone using Lambda and SNS.",2019-03-04T22:47:50Z,
95,quiz,Quiz: Kinesis Analytics,Generated File,095_quiz_4603558_Quiz: Kinesis Analytics.csv,,Test your knowledge of the intricacies of Kinesis Analytics.,,
96,video,Intro to Elasticsearch,Video,03.ElasticsearchIntroAndArchitecture.mp4,00:09:23,,2019-03-26T11:36:50Z,
97,video,Amazon Elasticsearch Service,Video,04.AmazonElasticsearchService.mp4,00:07:29,,2019-03-26T11:37:55Z,
98,video,"[Exercise] Amazon Elasticsearch Service, Part 1",Video,Exercise8-Elasticsearch_Pt1.mp4,00:08:34,"In this hands-on activity, we'll spin up an Amazon Elasticsearch cluster, and configure Kinesis Firehose to dump Apache web server logs into it for querying and visualization with Kibana.",2019-03-05T17:05:51Z,
99,video,"[Exercise] Amazon Elasticsearch Service, Part 2",Video,Exercise8-Elasticsearch_Pt2.mp4,00:08:40,"In this hands-on activity, we'll spin up an Amazon Elasticsearch cluster, and configure Kinesis Firehose to dump Apache web server logs into it for querying and visualization with Kibana.",2019-03-05T17:08:07Z,
100,video,"[Exercise] Amazon Elasticsearch Service, Part 3",Video,Exercise8-Elasticsearch_Pt3.mp4,00:05:42,"In this hands-on activity, we'll spin up an Amazon Elasticsearch cluster, and configure Kinesis Firehose to dump Apache web server logs into it for querying and visualization with Kibana.",2019-03-05T17:09:28Z,
101,quiz,Quiz: Amazon ES,Generated File,101_quiz_4607262_Quiz: Amazon ES.csv,,Test your knowledge of Amazon's Elasticsearch Service.,,
102,video,Intro to Athena,Video,05.IntroToAthena.mp4,00:04:48,,2019-03-26T12:08:43Z,
103,video,"Athena and Glue, Costs, and Security",Video,06.AthenaGlueCostsAndSecurity.mp4,00:05:58,,2019-03-27T19:27:13Z,
104,video,[Exercise] AWS Glue and Athena,Video,Exercise9-GlueAthena.mp4,00:09:09,"We'll use a Glue crawler to set up a Glue Data Catalog for our S3 order data, and then query it directly using Amazon Athena.",2019-03-05T19:51:52Z,
105,quiz,Quiz: Amazon Athena,Generated File,105_quiz_4607632_Quiz: Amazon Athena.csv,,"Test your knowledge of when to use Athena, and how.",,
106,video,Redshift Intro and Architecture,Video,07.RedshiftIntroArchitecture.mp4,00:08:38,,2019-03-27T19:28:03Z,
107,video,Redshift Spectrum and Performance Tuning,Video,08.RedshiftSpectrumAndPerformance.mp4,00:04:50,,2019-03-27T19:28:53Z,
108,video,Redshift Durability and Scaling,Video,09.RedshiftDurabilityAndScaling.mp4,00:03:33,,2019-03-27T19:29:29Z,
109,video,Redshift Distribution Styles,Video,10.RedshiftDistributionStyles.mp4,00:03:03,,2019-03-27T19:29:55Z,
110,video,Redshift Sort Keys,Video,11.RedshiftSortKeys.mp4,00:03:08,,2019-03-27T19:30:27Z,
111,video,Redshift Data Flows,Video,12.RedshiftDataFlows.mp4,00:05:08,,2019-03-28T17:24:43Z,
112,video,Redshift Integration / WLM / Vacuum / Anti-Patterns,Video,13.RedshiftIntegrationWLMVacuumAndAntiPatterns.mp4,00:04:10,,2019-03-28T17:25:26Z,
113,video,"[Exercise] Redshift Spectrum, Pt. 1",Video,Exercise10-Redshift_Pt1.mp4,00:06:48,"Let's launch a Redshift cluster, and use AWS Glue to provide a schema we can use to query our S3 order data via Redshift Spectrum.",2019-03-05T20:08:50Z,
114,video,"[Exercise] Redshift Spectrum, Pt. 2",Video,Exercise10-Redshift_Pt2.mp4,00:04:58,,2019-03-05T20:10:20Z,
115,quiz,Quiz: Amazon Redshift,Generated File,115_quiz_4607702_Quiz: Amazon Redshift.csv,,The exam will expect a lot of depth on Redshift from you. Test your knowledge of the finer points.,,
116,video,Amazon Relational Database Service (RDS) and Aurora,Video,14.AmazonRDS.mp4,00:04:08,,2019-03-28T17:26:09Z,
117,chapter,Domain 5: Visualization,,,,"Use QuickSight to visualize your data with charts and graphs, and explore alternative technologies.",,
118,video,Section Introduction: Visualization,Video,VizIntro.mp4,00:00:52,,2019-03-25T20:20:25Z,
119,video,Intro to Amazon Quicksight,Video,01.QuicksightIntro.mp4,00:07:03,,2019-03-28T17:27:27Z,
120,video,Quicksight Pricing and Dashboards,Video,02.QuicksightPricingAndDrashboards.mp4,00:02:03,,2019-03-28T17:28:13Z,
121,video,Choosing Visualization Types,Video,03.ChoosingVisualizationTypes.mp4,00:08:11,,2019-03-28T17:29:02Z,
122,video,[Exercise] Amazon Quicksight,Video,Exercise11-QuickSight.mp4,00:10:12,"We'll set up QuickSight on top of our Redshift data warehouse, and scratch the surface of the visualizations it can produce.",2019-03-06T12:29:17Z,
123,quiz,Quiz: Amazon Quicksight,Generated File,123_quiz_4607998_Quiz: Amazon Quicksight.csv,,Test your knowledge on the finer points of QuickSight.,,
124,video,"Other Visualization Tools (HighCharts, D3, etc)",Video,04.OtherVizTools.mp4,00:02:44,,2019-03-28T17:29:54Z,
125,chapter,Domain 6: Security,,,,"Learn best practices for securing big data applications on AWS, using KMS, IAM, HSM, and more.",,
126,video,Encryption 101,Video,Encryption 101.mp4,00:05:59,,2019-03-26T15:59:29Z,
127,video,S3 Encryption (Reminder),Video,S3 Encryption.mp4,00:08:23,,2019-03-26T16:00:00Z,
128,video,KMS Overview,Video,KMS.mp4,00:06:03,,2019-03-26T18:50:38Z,
129,video,Cloud HSM Overview,Video,CloudHSM.mp4,00:03:27,,2019-03-26T18:50:38Z,
130,video,AWS Services Security Deep Dive (1/3),Video,Technology Security Part 1.mp4,00:05:48,,2019-03-26T18:50:38Z,
131,video,AWS Services Security Deep Dive (2/3),Video,Technology Security Part 2.mp4,00:04:30,,2019-03-26T18:50:38Z,
132,video,AWS Services Security Deep Dive (3/3),Video,Technology Security Part 3.mp4,00:06:56,,2019-03-26T18:50:38Z,
133,video,STS and Cross Account Access,Video,STS and Cross Account Access.mp4,00:02:29,,2019-03-27T12:29:01Z,
134,video,Identity Federation,Video,Identity Federation with SAML & Cognito.mp4,00:09:45,,2019-03-27T12:29:01Z,
135,video,Policies - Advanced,Video,Policies - Advanced.mp4,00:05:59,,2019-03-27T12:29:01Z,
136,video,CloudTrail,Video,CloudTrail.mp4,00:05:58,,2019-03-27T12:29:01Z,
137,video,VPC Endpoints,Video,VPC Endpoints.mp4,00:03:18,,2019-03-27T12:29:01Z,
138,quiz,Security Quiz,Generated File,138_quiz_4615127_Security Quiz.csv,,,,
139,chapter,Everything Else,,,,"Learn other important topics that are helpful on the exam, such as choosing an EC2 instance type, auto-scaling, and how different services connect to each other.",,
140,video,AWS Services Integrations,Video,AWS Service Integrations.mp4,00:10:41,,2019-03-27T15:41:57Z,
141,video,Instance Types for Big Data,Video,AWS Instance Types.mp4,00:02:45,,2019-03-27T15:41:57Z,
142,video,EC2 for Big Data,Video,EC2 in Big Data.mp4,00:02:04,,2019-03-27T15:41:57Z,
143,article,AWS Cleanup,Generated File,143_article_17329357_AWS Cleanup.html,00:01:49,,2019-03-27T19:34:39Z,
144,chapter,Preparing for the Exam,,,,"Learn how to manage your time on the exam, and further materials you should study ahead of time.",,
145,video,Exam Tips,Video,ExamTips.mp4,00:09:12,,2019-03-27T19:25:01Z,"ExternalLink - AWS online prep course - https://www.aws.training/learningobject/curriculum?id=21332 - 2019-03-27T20:07:19Z
ExternalLink - Exam Overview, Guide, and Sample Questions from AWS - https://aws.amazon.com/certification/certified-big-data-specialty/ - 2019-03-27T20:07:55Z
ExternalLink - Kinesis Whitepaper - https://aws.amazon.com/whitepapers/kinesis-solutions/ - 2019-03-27T20:08:25Z
ExternalLink - Big Data Whitepaper - http://d0.awsstatic.com/whitepapers/Big_Data_Analytics_Options_on_AWS.pdf - 2019-03-27T20:08:45Z
ExternalLink - Migrating Applications to AWS - https://d1.awsstatic.com/whitepapers/Migration/migrating-applications-to-aws.pdf - 2019-03-27T20:09:17Z
ExternalLink - AWS Database Migration Service Whitepaper - https://d1.awsstatic.com/whitepapers/RDS/AWS_Database_Migration_Service_Best_Practices.pdf - 2019-03-27T20:09:42Z"
146,video,State of Learning Checkpoint,Video,State of Learning Checkpoint - Big Data.mp4,00:06:48,,2019-03-27T18:19:52Z,
147,video,Exam Walkthrough and Signup,Video,Exam Walkthrough and Signup - Big Data.mp4,00:04:47,,2019-03-27T16:20:56Z,
148,chapter,Practice Exam,,,,See if you're ready for the real thing! This exam is a close approximation to the kinds of questions you can expect.,,
149,practice,AWS Certified Big Data Specialty Practice Exam,Generated File,149_practice_4609131_AWS Certified Big Data Specialty Practice Exam.csv,,,,
150,chapter,Wrapping Up,,,,"Congrats, you made it! Let's make sure you cleaned up your hands-on environment, and show you how to learn more from Sundog Education and DataCumulus.",,
151,video,Congratulations! Now make sure you're ready.,Video,Congrats.mp4,00:01:22,,2019-03-25T20:21:30Z,
152,article,Bonus Lecture: Special discounts for our other courses,Generated File,152_article_17400696_Bonus Lecture: Special discounts for our other courses.html,00:14:45,,2019-04-01T16:39:18Z,
